Comunidades y Ciudades Autónomas;Tipo de equipamiento;Total
Rioja, La;Viviendas con conexión solo a través de  banda ancha  móvil;16,3
Rioja, La;Viviendas con  teléfono fijo;63,5
Rioja, La;Viviendas con  teléfono móvil;98,8
Ceuta;Total Viviendas;26.306
Ceuta;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;80,3
Ceuta;Ordenadores de sobremesa o portátil (no incluye tablet);66,8
Ceuta;Ordenadores tipo Tablet;60,3
Ceuta;Viviendas que disponen de acceso a Internet;97,3
Ceuta;Viviendas con conexión de Banda Ancha;97,3
Ceuta;Viviendas con conexión de banda ancha fija;81,5
Ceuta;Viviendas con conexión solo a través de  banda ancha  móvil;15,8
Ceuta;Viviendas con  teléfono fijo;70,1
Ceuta;Viviendas con  teléfono móvil;98,9
Melilla;Total Viviendas;25.676
Melilla;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;96
Melilla;Ordenadores de sobremesa o portátil (no incluye tablet);90
Melilla;Ordenadores tipo Tablet;74,4
Melilla;Viviendas que disponen de acceso a Internet;100
Melilla;Viviendas con conexión de Banda Ancha;100
Melilla;Viviendas con conexión de banda ancha fija;95
Melilla;Viviendas con conexión solo a través de  banda ancha  móvil;5
Melilla;Viviendas con  teléfono fijo;68,9
Melilla;Viviendas con  teléfono móvil;100
