Clase de poblaci?n;Total Nacional;Comunidades y Ciudades Aut?nomas;Frecuencia de uso;Total
Total personas (16 a 74 a?os);Total Nacional;14 Murcia, Regi?n de;Han usado Internet diariamente (al menos 5 d?as a la semana);86
Total personas (16 a 74 a?os);Total Nacional;14 Murcia, Regi?n de;Han utilizado internet varias veces al d?a;79,4
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Total;483.774
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet alguna vez;96,2
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 12 meses;95,6
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 3 meses;95,4
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet semanalmente (al menos una vez a la semana);93,9
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han usado Internet diariamente (al menos 5 d?as a la semana);88
Total personas (16 a 74 a?os);Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet varias veces al d?a;83,5
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Total;1.597.629
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han utilizado Internet alguna vez;96,6
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 12 meses;95,7
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 3 meses;95,3
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han utilizado internet semanalmente (al menos una vez a la semana);94,1
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han usado Internet diariamente (al menos 5 d?as a la semana);88
Total personas (16 a 74 a?os);Total Nacional;16 Pa?s Vasco;Han utilizado internet varias veces al d?a;84,7
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Total;232.393
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han utilizado Internet alguna vez;95,2
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 12 meses;94,3
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 3 meses;93,4
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han utilizado internet semanalmente (al menos una vez a la semana);90,7
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han usado Internet diariamente (al menos 5 d?as a la semana);84
Total personas (16 a 74 a?os);Total Nacional;17 Rioja, La;Han utilizado internet varias veces al d?a;80,8
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Total;57.887
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han utilizado Internet alguna vez;97,8
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 12 meses;96,3
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 3 meses;94,3
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han utilizado internet semanalmente (al menos una vez a la semana);93,4
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han usado Internet diariamente (al menos 5 d?as a la semana);89
Total personas (16 a 74 a?os);Total Nacional;18 Ceuta;Han utilizado internet varias veces al d?a;87,0
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Total;61.208
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han utilizado Internet alguna vez;99,0
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 12 meses;99,0
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 3 meses;99,0
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han utilizado internet semanalmente (al menos una vez a la semana);99,0
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Total personas (16 a 74 a?os);Total Nacional;19 Melilla;Han utilizado internet varias veces al d?a;91,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Total;33.632.763
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han utilizado Internet en los ?ltimos 3 meses;99,6
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han utilizado internet semanalmente (al menos una vez a la semana);97,9
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;;Han utilizado internet varias veces al d?a;88,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Total;5.996.999
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet en los ?ltimos 3 meses;99,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han utilizado internet semanalmente (al menos una vez a la semana);97,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;01 Andaluc?a;Han utilizado internet varias veces al d?a;90,4
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Total;907.302
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han utilizado Internet en los ?ltimos 3 meses;99,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han utilizado internet semanalmente (al menos una vez a la semana);98,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;02 Arag?n;Han utilizado internet varias veces al d?a;89,9
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Total;702.645
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet en los ?ltimos 3 meses;98,8
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han utilizado internet semanalmente (al menos una vez a la semana);97,1
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;03 Asturias, Principado de;Han utilizado internet varias veces al d?a;85,1
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Total;916.231
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han utilizado internet semanalmente (al menos una vez a la semana);99,2
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han usado Internet diariamente (al menos 5 d?as a la semana);94
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;04 Balears, Illes;Han utilizado internet varias veces al d?a;89,2
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Total;1.678.207
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han utilizado Internet en los ?ltimos 3 meses;99,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han utilizado internet semanalmente (al menos una vez a la semana);97,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;05 Canarias;Han utilizado internet varias veces al d?a;87,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Total;407.310
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han utilizado Internet en los ?ltimos 3 meses;99,4
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;06 Cantabria;Han utilizado internet varias veces al d?a;87,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Total;1.614.485
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet en los ?ltimos 3 meses;99,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han utilizado internet semanalmente (al menos una vez a la semana);97,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;07 Castilla y Le?n;Han utilizado internet varias veces al d?a;86,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Total;1.415.822
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet en los ?ltimos 3 meses;99,4
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado internet semanalmente (al menos una vez a la semana);98,4
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado internet varias veces al d?a;86,1
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Total;5.469.219
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Han utilizado Internet en los ?ltimos 3 meses;99,4
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Han utilizado internet semanalmente (al menos una vez a la semana);97,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;09 Catalu?a;Han usado Internet diariamente (al menos 5 d?as a la semana);92
